state,x,y
Andhra Pradesh,-68.0,-176.0
Arunachal Pradesh,258.0,125.0
Assam,227.0,73.0
Bihar,86.0,46.0
Chhattisgarh,4.0,-36.0
Goa,-210.0,-168.0
Gujarat,-252.0,-26.0
Haryana,-127.0,119.0
Himachal Pradesh,-106.0,177.0
Jammu and Kashmir,-121.0,232.0
Jharkhand,70.0,3.0
Karnataka,-148.0,-191.0
Kerala,-139.0,-270.0
Madhya Pradesh,-96.0,-4.0
Maharashtra,-159.0,-82.0
Manipur,259.0,35.0
Meghalaya,190.0,51.0
Mizoram,239.0,4.0
Nagaland,267.0,67.0
Odisha,62.0,-56.0
Punjab,-149.0,155.0
Rajasthan,-191.0,64.0
Sikkim,134.0,93.0
Tamil Nadu,-78.0,-254.0
Telangana,-68.0,-115.0
Tripura,186.0,12.0
Uttarakhand,-62.0,137.0
Uttar Pradesh,-39.0,73.0
West Bengal,133.0,-12.0
Andaman and Nicobar Islands,248.0,-260.0
Delhi,-107.0,106.0
Lakshadweep,-232.0,-274.0
Puducherry,-25.0,-238.0
